date,mean,min,max,rainfall_mm,District
2019-01-07,24.249201,21.794184,26.3794495,0.0,KOLHAPUR
2019-01-07,25.2195835,22.589197,26.9973085,0.0,LATUR
2019-01-07,26.162744500000002,24.6903935,26.2216135,0.0,PALGHAR
2019-01-07,26.075983,24.026972,26.579523,0.0,RATNAGIRI
2019-01-07,26.595362,24.00387,28.64297,0.0,HINGOLI
2019-01-07,27.637476,25.124842,31.174067,0.0,BHANDARA
2019-01-07,23.751123,21.39181,24.73562,0.0,SATARA
2019-01-07,27.011789,24.447916,30.8425235,0.0,GONDIA
2019-01-07,26.64242,23.3824405,28.060388500000002,0.0,JALNA
2019-01-07,24.8401435,22.3554935,26.091486,0.0,OSMANABAD
2019-01-07,27.123774,24.161432,29.04568,0.0,BULDHANA
2019-01-07,25.1783845,22.316446499999998,27.750574,0.0,SANGLI
2019-01-07,27.835520000000002,24.782846499999998,28.644312,0.0,DHULE
2019-01-07,25.751245,24.406702,25.682886,0.0,RAIGAD
2019-01-07,27.7080635,24.981302,30.502603999999998,0.0,NAGPUR
2019-01-07,25.086969,22.768380999999998,24.911875000000002,0.0,AHMEDNAGAR
2019-01-07,27.082483500000002,24.2687625,27.3987365,0.0,NANDURBAR
2019-01-07,26.1800325,24.039713,27.048639,0.0,NANDED
2019-01-07,25.802881,23.152674,26.915949,0.0,AURANGABAD
2019-01-07,27.4345185,24.593103499999998,29.169611,0.0,AMRAVATI
2019-01-07,27.399744,24.9114475,29.0629675,0.0,CHANDRAPUR
2019-01-07,27.775171,24.8244115,29.418741,0.0,WARDHA
2019-01-08,24.864954,22.367914,26.392664,0.0,BEED
2019-01-08,24.054438,22.09228,24.156519,0.0,NASIK
2019-01-08,25.625742,23.134484999999998,26.5169465,0.0,SINDHUDURG
2019-01-08,25.429071,23.437311,26.56463,0.0,BULDHANA
2019-01-08,25.267847,23.221994000000002,26.614252,0.0,GONDIA
2019-01-08,25.4909,23.886713,26.766932,0.0,BHANDARA
2019-01-08,25.154047,23.442408,25.433771,0.0,NANDURBAR
2019-01-08,23.461878,21.311335,24.317865,0.0,KOLHAPUR
