Year,Month,Avg_Temperature,Total_Rainfall,State,Crop,Season,NDVI,Baseline_NDVI,NDVI_Anomaly
2019,6,29.395641810218052,3999.6933383031746,MH,CO,Kharif,0.2173894944223856,0.32596114606517795,-0.10857165164279237
2019,7,27.12478249288425,9980.008910595056,MH,CO,Kharif,0.3653833074341692,0.41833851279441947,-0.05295520536025028
2019,8,26.51779931839026,6456.05521144404,MH,CO,Kharif,0.48106924774174115,0.5654068641473126,-0.08433761640557141
2019,9,26.545628121977124,6996.8273122151,MH,CO,Kharif,0.6359629591958328,0.6176994896777854,0.01826346951804736
2020,6,27.256296720588235,10683.21317067813,MH,CO,Kharif,0.40411551911277194,0.32596114606517795,0.07815437304759398
2020,7,26.81137550648324,7714.54894350827,MH,CO,Kharif,0.5266530405726192,0.41833851279441947,0.10831452777819972
2020,8,25.876248611717266,12580.78850128697,MH,CO,Kharif,0.5981402983832551,0.5654068641473126,0.03273343423594255
2020,9,26.367689801797386,5810.068840724295,MH,CO,Kharif,0.652142797569933,0.6176994896777854,0.03444330789214756
2021,6,27.31477355882353,3640.221054331248,MH,CO,Kharif,0.41382020998721014,0.32596114606517795,0.08785906392203219
2021,7,26.435557992409866,7273.124195050445,MH,CO,Kharif,0.4416439054034068,0.41833851279441947,0.02330539260898734
2021,8,26.29829017931689,4121.4278373559055,MH,CO,Kharif,0.568408485035852,0.5654068641473126,0.0030016208885393914
2021,9,26.177347942156864,5456.579956746181,MH,CO,Kharif,0.5531869002085008,0.6176994896777854,-0.06451258946928462
2022,6,27.56908856490196,3345.195190917803,MH,CO,Kharif,0.2685193607383441,0.32596114606517795,-0.05744178532683386
2022,7,26.206591622865275,14772.446800568225,MH,CO,Kharif,0.33967379776748274,0.41833851279441947,-0.07866471502693673
2022,8,26.388096278937383,9343.96638666446,MH,CO,Kharif,0.614009425428402,0.5654068641473126,0.04860256128108942
2022,9,26.0189418375,7245.32870344941,MH,CO,Kharif,0.629505301736875,0.6176994896777854,0.011805812059089593
2023,6,28.32478949791667,5696.618225484587,MH,CO,Kharif,0.37950339906943514,0.32596114606517795,0.05354225300425719
2023,7,26.06526402743517,18046.61004398385,MH,CO,Kharif,0.36638480512630855,0.41833851279441947,-0.051953707668110916
2023,8,26.476384284471855,1968.343155259666,MH,CO,Kharif,0.5872353702857293,0.5654068641473126,0.021828506138416692
2023,9,26.455139577205884,9388.859655071361,MH,CO,Kharif,0.6177601802037579,0.6176994896777854,6.069052597246216e-05
2019,6,29.395641810218052,3999.6933383031746,MH,GM,Kharif,0.2173894944223856,0.32596114606517795,-0.10857165164279237
2019,7,27.12478249288425,9980.008910595056,MH,GM,Kharif,0.3653833074341692,0.41833851279441947,-0.05295520536025028
2019,8,26.51779931839026,6456.05521144404,MH,GM,Kharif,0.48106924774174115,0.5654068641473126,-0.08433761640557141
2019,9,26.545628121977124,6996.8273122151,MH,GM,Kharif,0.6359629591958328,0.6176994896777854,0.01826346951804736
2020,6,27.256296720588235,10683.21317067813,MH,GM,Kharif,0.40411551911277194,0.32596114606517795,0.07815437304759398
2020,7,26.81137550648324,7714.54894350827,MH,GM,Kharif,0.5266530405726192,0.41833851279441947,0.10831452777819972
2020,8,25.876248611717266,12580.78850128697,MH,GM,Kharif,0.5981402983832551,0.5654068641473126,0.03273343423594255
2020,9,26.367689801797386,5810.068840724295,MH,GM,Kharif,0.652142797569933,0.6176994896777854,0.03444330789214756
2021,6,27.31477355882353,3640.221054331248,MH,GM,Kharif,0.41382020998721014,0.32596114606517795,0.08785906392203219
2021,7,26.435557992409866,7273.124195050445,MH,GM,Kharif,0.4416439054034068,0.41833851279441947,0.02330539260898734
2021,8,26.29829017931689,4121.4278373559055,MH,GM,Kharif,0.568408485035852,0.5654068641473126,0.0030016208885393914
2021,9,26.177347942156864,5456.579956746181,MH,GM,Kharif,0.5531869002085008,0.6176994896777854,-0.06451258946928462
2022,6,27.56908856490196,3345.195190917803,MH,GM,Kharif,0.2685193607383441,0.32596114606517795,-0.05744178532683386
2022,7,26.206591622865275,14772.446800568225,MH,GM,Kharif,0.33967379776748274,0.41833851279441947,-0.07866471502693673
2022,8,26.388096278937383,9343.96638666446,MH,GM,Kharif,0.614009425428402,0.5654068641473126,0.04860256128108942
2022,9,26.0189418375,7245.32870344941,MH,GM,Kharif,0.629505301736875,0.6176994896777854,0.011805812059089593
2023,6,28.32478949791667,5696.618225484587,MH,GM,Kharif,0.3811347591133989,0.32596114606517795,0.05517361304822094
2023,7,26.06526402743517,18046.61004398385,MH,GM,Kharif,0.36536510404994926,0.41833851279441947,-0.05297340874447021
2023,8,26.476384284471855,1968.343155259666,MH,GM,Kharif,0.5872353702857293,0.5654068641473126,0.021828506138416692
2023,9,26.455139577205884,9388.859655071361,MH,GM,Kharif,0.6182368699443557,0.6176994896777854,0.0005373802665702421
2019,1,27.90258150097738,0.0982858325,MH,PA,Rabi,0.29700576898591025,,
2019,2,27.734204134705834,4.649402304979599,MH,PA,Rabi,0.28821714108105967,,
2019,3,27.826568518475327,18.541561180412597,MH,PA,Rabi,0.29031757915616363,,
2019,10,26.19909671046806,3105.820976478975,MH,PA,Rabi,0.6652772350990213,0.6454943978618516,0.01978283723716967
2019,11,25.377897316830065,185.116923510924,MH,PA,Rabi,0.6306982310192204,0.5846595489238192,0.046038682095401184
2019,12,24.061802707898483,142.12006505087825,MH,PA,Rabi,0.5493304725222261,0.5340876050221843,0.015242867500041779
2020,1,24.03822681310879,10.384795728245999,MH,PA,Rabi,0.5189078170157568,0.5026032033028408,0.016304613712916027
2020,2,25.957804131845844,1.310454058405,MH,PA,Rabi,0.45273766449184294,0.4333969732546475,0.01934069123719545
2020,3,27.363839188804555,1320.310584542317,MH,PA,Rabi,0.37277300516808176,0.3554222286968836,0.017350776471198148
2020,10,26.090964494781783,2230.763354405348,MH,PA,Rabi,0.6306136994589144,0.6454943978618516,-0.014880698402937154
2020,11,25.43213422254902,39.521428080148304,MH,PA,Rabi,0.5658430729047794,0.5846595489238192,-0.018816476019039796
2020,12,23.629490457779884,160.664940138117,MH,PA,Rabi,0.5206278649173155,0.5340876050221843,-0.013459740104868834
2021,1,24.66862286907021,51.2923913900595,MH,PA,Rabi,0.49121136529485565,0.5026032033028408,-0.011391838007985156
2021,2,25.614931638655463,265.67794929545,MH,PA,Rabi,0.41373540989995305,0.4333969732546475,-0.019661563354694434
2021,3,27.959831331119545,276.5958819868064,MH,PA,Rabi,0.34089330543571184,0.3554222286968836,-0.014528923261171778
2021,10,25.891855012333966,1649.274391797606,MH,PA,Rabi,0.6616783994881715,0.6454943978618516,0.016184001626319944
2021,11,25.88159357892157,121.39780221561621,MH,PA,Rabi,0.5799333604307962,0.5846595489238192,-0.004726188493022976
2021,12,23.284266433270083,592.904745717685,MH,PA,Rabi,0.5479371779875728,0.5340876050221843,0.013849572965388468
2022,1,22.956260981728338,3.20388044788,MH,PA,Rabi,0.5087315338804039,0.5026032033028408,0.006128330577563124
2022,2,25.9258537605042,3.191940933,MH,PA,Rabi,0.42976969071778287,0.4333969732546475,-0.0036272825368646178
2022,3,29.079640464421253,30.10054548786165,MH,PA,Rabi,0.3526003754868573,0.3554222286968836,-0.002821853210026315
2022,10,25.306455223738933,3535.12051317135,MH,PA,Rabi,0.6244082574012991,0.6454943978618516,-0.02108614046055246
2022,11,24.020498336074347,3.7381113526571497,MH,PA,Rabi,0.5621635313404809,0.5846595489238192,-0.0224960175833383
2022,12,24.596570901249212,762.3276958647,MH,PA,Rabi,0.5184549046616227,0.5340876050221843,-0.015632700360561635
2023,1,24.228786793595827,0.99254131435,MH,PA,Rabi,0.4915620970203468,0.5026032033028408,-0.011041106282493995
2023,2,26.476460752275912,2.6667799964635,MH,PA,Rabi,0.4373451279090111,0.4333969732546475,0.0039481546543636
2023,3,26.569995572343455,1434.5465191256844,MH,PA,Rabi,0.41660621215087323,0.3554222286968836,0.06118398345398962
2023,10,26.70414234297913,461.95330835527534,MH,PA,Rabi,0.6002018431229145,0.6454943978618516,-0.04529255473893712
2023,11,25.5222879526634,1395.943004779715,MH,PA,Rabi,0.6071340383867546,0.5846595489238192,0.0224744894629354
2023,12,23.88671957175838,276.6294013764517,MH,PA,Rabi,0.5293672410277569,0.5340876050221843,-0.0047203639944274345
2019,6,29.395641810218052,3999.6933383031746,MH,SB,Kharif,0.2173894944223856,0.32596114606517795,-0.10857165164279237
2019,7,27.12478249288425,9980.008910595056,MH,SB,Kharif,0.3653833074341692,0.41833851279441947,-0.05295520536025028
2019,8,26.51779931839026,6456.05521144404,MH,SB,Kharif,0.48106924774174115,0.5654068641473126,-0.08433761640557141
2019,9,26.545628121977124,6996.8273122151,MH,SB,Kharif,0.6359629591958328,0.6176994896777854,0.01826346951804736
2020,6,27.256296720588235,10683.21317067813,MH,SB,Kharif,0.40411551911277194,0.32596114606517795,0.07815437304759398
2020,7,26.81137550648324,7714.54894350827,MH,SB,Kharif,0.5266530405726192,0.41833851279441947,0.10831452777819972
2020,8,25.876248611717266,12580.78850128697,MH,SB,Kharif,0.5981402983832551,0.5654068641473126,0.03273343423594255
2020,9,26.367689801797386,5810.068840724295,MH,SB,Kharif,0.652142797569933,0.6176994896777854,0.03444330789214756
2021,6,27.31477355882353,3640.221054331248,MH,SB,Kharif,0.41382020998721014,0.32596114606517795,0.08785906392203219
2021,7,26.435557992409866,7273.124195050445,MH,SB,Kharif,0.4416439054034068,0.41833851279441947,0.02330539260898734
2021,8,26.29829017931689,4121.4278373559055,MH,SB,Kharif,0.568408485035852,0.5654068641473126,0.0030016208885393914
2021,9,26.177347942156864,5456.579956746181,MH,SB,Kharif,0.5531869002085008,0.6176994896777854,-0.06451258946928462
2022,6,27.56908856490196,3345.195190917803,MH,SB,Kharif,0.2685193607383441,0.32596114606517795,-0.05744178532683386
2022,7,26.206591622865275,14772.446800568225,MH,SB,Kharif,0.33967379776748274,0.41833851279441947,-0.07866471502693673
2022,8,26.388096278937383,9343.96638666446,MH,SB,Kharif,0.614009425428402,0.5654068641473126,0.04860256128108942
2022,9,26.0189418375,7245.32870344941,MH,SB,Kharif,0.629505301736875,0.6176994896777854,0.011805812059089593
2023,6,28.32478949791667,5696.618225484587,MH,SB,Kharif,0.38535664819527987,0.32596114606517795,0.05939550213010192
2023,7,26.06526402743517,18046.61004398385,MH,SB,Kharif,0.36805109738489006,0.41833851279441947,-0.05028741540952941
2023,8,26.476384284471855,1968.343155259666,MH,SB,Kharif,0.586099599692594,0.5654068641473126,0.020692735545281393
2023,9,26.455139577205884,9388.859655071361,MH,SB,Kharif,0.6184007157611141,0.6176994896777854,0.0007012260833286765
2019,1,27.90258150097738,0.0982858325,MH,WH,Rabi,0.2975277821360717,,
2019,2,27.734204134705834,4.649402304979599,MH,WH,Rabi,0.28873915423122104,,
2019,3,27.826568518475327,18.541561180412597,MH,WH,Rabi,0.29083959230632506,,
2019,10,26.19909671046806,3105.820976478975,MH,WH,Rabi,0.6652772350990213,0.6454943978618516,0.01978283723716967
2019,11,25.377897316830065,185.116923510924,MH,WH,Rabi,0.6306982310192204,0.5846595489238192,0.046038682095401184
2019,12,24.061802707898483,142.12006505087825,MH,WH,Rabi,0.5493304725222261,0.5340876050221843,0.015242867500041779
2020,1,24.03822681310879,10.384795728245999,MH,WH,Rabi,0.5189078170157568,0.5026032033028408,0.016304613712916027
2020,2,25.957804131845844,1.310454058405,MH,WH,Rabi,0.45273766449184294,0.4333969732546475,0.01934069123719545
2020,3,27.363839188804555,1320.310584542317,MH,WH,Rabi,0.37277300516808176,0.3554222286968836,0.017350776471198148
2020,10,26.090964494781783,2230.763354405348,MH,WH,Rabi,0.6306136994589144,0.6454943978618516,-0.014880698402937154
2020,11,25.43213422254902,39.521428080148304,MH,WH,Rabi,0.5658430729047794,0.5846595489238192,-0.018816476019039796
2020,12,23.629490457779884,160.664940138117,MH,WH,Rabi,0.5206278649173155,0.5340876050221843,-0.013459740104868834
2021,1,24.66862286907021,51.2923913900595,MH,WH,Rabi,0.49121136529485565,0.5026032033028408,-0.011391838007985156
2021,2,25.614931638655463,265.67794929545,MH,WH,Rabi,0.41373540989995305,0.4333969732546475,-0.019661563354694434
2021,3,27.959831331119545,276.5958819868064,MH,WH,Rabi,0.34089330543571184,0.3554222286968836,-0.014528923261171778
2021,10,25.891855012333966,1649.274391797606,MH,WH,Rabi,0.6616783994881715,0.6454943978618516,0.016184001626319944
2021,11,25.88159357892157,121.39780221561621,MH,WH,Rabi,0.5799333604307962,0.5846595489238192,-0.004726188493022976
2021,12,23.284266433270083,592.904745717685,MH,WH,Rabi,0.5479371779875728,0.5340876050221843,0.013849572965388468
2022,1,22.956260981728338,3.20388044788,MH,WH,Rabi,0.5087315338804039,0.5026032033028408,0.006128330577563124
2022,2,25.9258537605042,3.191940933,MH,WH,Rabi,0.42976969071778287,0.4333969732546475,-0.0036272825368646178
2022,3,29.079640464421253,30.10054548786165,MH,WH,Rabi,0.3526003754868573,0.3554222286968836,-0.002821853210026315
2022,10,25.306455223738933,3535.12051317135,MH,WH,Rabi,0.6244082574012991,0.6454943978618516,-0.02108614046055246
2022,11,24.020498336074347,3.7381113526571497,MH,WH,Rabi,0.5621635313404809,0.5846595489238192,-0.0224960175833383
2022,12,24.596570901249212,762.3276958647,MH,WH,Rabi,0.5184549046616227,0.5340876050221843,-0.015632700360561635
2023,1,24.228786793595827,0.99254131435,MH,WH,Rabi,0.4915620970203468,0.5026032033028408,-0.011041106282493995
2023,2,26.476460752275912,2.6667799964635,MH,WH,Rabi,0.4373451279090111,0.4333969732546475,0.0039481546543636
2023,3,26.569995572343455,1434.5465191256844,MH,WH,Rabi,0.415101618163146,0.3554222286968836,0.05967938946626239
2023,10,26.70414234297913,461.95330835527534,MH,WH,Rabi,0.5998158818173492,0.6454943978618516,-0.04567851604450235
2023,11,25.5222879526634,1395.943004779715,MH,WH,Rabi,0.6070434303142691,0.5846595489238192,0.02238388139044989
2023,12,23.88671957175838,276.6294013764517,MH,WH,Rabi,0.5293717837895394,0.5340876050221843,-0.004715821232644912
2019,6,33.637394052387265,4856.19306829335,MP,CO,Kharif,0.24751680081554456,0.3340757052028921,-0.08655890438734754
2019,7,28.259579996277914,16769.39764888788,MP,CO,Kharif,0.42269166413607706,0.43918245234574316,-0.016490788209666096
2019,8,26.523237205955336,18024.675126177084,MP,CO,Kharif,0.4798802550503686,0.565504712398752,-0.08562445734838342
2019,9,26.419102582371796,14915.517425355316,MP,CO,Kharif,0.5492698569278769,0.5967565151781452,-0.04748665825026832
2020,6,29.433113044551284,12681.153521475684,MP,CO,Kharif,0.3870040129765644,0.3340757052028921,0.0529283077736723
2020,7,28.72362569975186,6896.61544246193,MP,CO,Kharif,0.5767499336222683,0.43918245234574316,0.13756748127652518
2020,8,26.833592799317618,17446.420320106212,MP,CO,Kharif,0.5609975186205888,0.565504712398752,-0.004507193778163221
2020,9,28.133283281089742,5680.6582325710715,MP,CO,Kharif,0.6137342502206617,0.5967565151781452,0.01697773504251654
2021,6,29.661462860576922,6084.3993363143945,MP,CO,Kharif,0.3843054043833826,0.3340757052028921,0.05022969918049053
2021,7,28.41676804032258,13208.733429169,MP,CO,Kharif,0.35318331763316313,0.43918245234574316,-0.08599913471258003
2021,8,26.852116674627794,11104.464290316486,MP,CO,Kharif,0.5681820419401031,0.565504712398752,0.0026773295413511367
2021,9,26.911793017628206,5276.32282883265,MP,CO,Kharif,0.5612895868642642,0.5967565151781452,-0.035466928313880985
2022,6,32.12869766173077,9321.01457264053,MP,CO,Kharif,0.3174766026360769,0.3340757052028921,-0.016599102566815183
2022,7,27.515350733560794,19476.18725098358,MP,CO,Kharif,0.404104893991464,0.43918245234574316,-0.03507755835427917
2022,8,26.806933216811416,17710.86210898517,MP,CO,Kharif,0.6529590339839473,0.565504712398752,0.08745432158519528
2022,9,27.050731626923078,8310.475821182148,MP,CO,Kharif,0.662732366699778,0.5967565151781452,0.06597585152163277
2023,6,31.485422144759617,14289.568729421484,MP,CO,Kharif,0.3277676914464957,0.3340757052028921,-0.006308013756396391
2023,7,28.126157964650538,21239.01133071775,MP,CO,Kharif,0.4009921645299087,0.43918245234574316,-0.038190287815834445
2023,8,26.996566765508682,8986.935959138074,MP,CO,Kharif,0.6499306190441757,0.565504712398752,0.08442590664542371
2023,9,27.29714694871795,12512.115800052825,MP,CO,Kharif,0.5226156478609661,0.5967565151781452,-0.07414086731717906
2019,6,33.637394052387265,4856.19306829335,MP,GM,Kharif,0.24751680081554456,0.3340757052028921,-0.08655890438734754
2019,7,28.259579996277914,16769.39764888788,MP,GM,Kharif,0.42269166413607706,0.43918245234574316,-0.016490788209666096
2019,8,26.523237205955336,18024.675126177084,MP,GM,Kharif,0.4798802550503686,0.565504712398752,-0.08562445734838342
2019,9,26.419102582371796,14915.517425355316,MP,GM,Kharif,0.5492698569278769,0.5967565151781452,-0.04748665825026832
2020,6,29.433113044551284,12681.153521475684,MP,GM,Kharif,0.3870040129765644,0.3340757052028921,0.0529283077736723
2020,7,28.72362569975186,6896.61544246193,MP,GM,Kharif,0.5767499336222683,0.43918245234574316,0.13756748127652518
2020,8,26.833592799317618,17446.420320106212,MP,GM,Kharif,0.5609975186205888,0.565504712398752,-0.004507193778163221
2020,9,28.133283281089742,5680.6582325710715,MP,GM,Kharif,0.6137342502206617,0.5967565151781452,0.01697773504251654
2021,6,29.661462860576922,6084.3993363143945,MP,GM,Kharif,0.3843054043833826,0.3340757052028921,0.05022969918049053
2021,7,28.41676804032258,13208.733429169,MP,GM,Kharif,0.35318331763316313,0.43918245234574316,-0.08599913471258003
2021,8,26.852116674627794,11104.464290316486,MP,GM,Kharif,0.5681820419401031,0.565504712398752,0.0026773295413511367
2021,9,26.911793017628206,5276.32282883265,MP,GM,Kharif,0.5612895868642642,0.5967565151781452,-0.035466928313880985
2022,6,32.12869766173077,9321.01457264053,MP,GM,Kharif,0.3174766026360769,0.3340757052028921,-0.016599102566815183
2022,7,27.515350733560794,19476.18725098358,MP,GM,Kharif,0.404104893991464,0.43918245234574316,-0.03507755835427917
2022,8,26.806933216811416,17710.86210898517,MP,GM,Kharif,0.6529590339839473,0.565504712398752,0.08745432158519528
2022,9,27.050731626923078,8310.475821182148,MP,GM,Kharif,0.662732366699778,0.5967565151781452,0.06597585152163277
2023,6,31.485422144759617,14289.568729421484,MP,GM,Kharif,0.32794604299797087,0.3340757052028921,-0.006129662204921227
2023,7,28.126157964650538,21239.01133071775,MP,GM,Kharif,0.40068094366240653,0.43918245234574316,-0.03850150868333663
2023,8,26.996566765508682,8986.935959138074,MP,GM,Kharif,0.6499306190441757,0.565504712398752,0.08442590664542371
2023,9,27.29714694871795,12512.115800052825,MP,GM,Kharif,0.5226156478609661,0.5967565151781452,-0.07414086731717906
2019,10,25.174590227977667,1085.238961450837,MP,PA,Rabi,0.5568106143916628,0.5129942791646434,0.04381633522701944
2019,11,22.665136839423077,176.145649526363,MP,PA,Rabi,0.48409825857429184,0.46728603035997385,0.016812228214317992
2019,12,16.98282298148263,524.827435538967,MP,PA,Rabi,0.5456702649269122,0.5363757684741036,0.009294496452808554
2020,1,16.426625067307693,870.7088181431095,MP,PA,Rabi,0.6364698339642992,0.6221646920727459,0.014305141891553297
2020,2,19.734713519728118,391.3852154804902,MP,PA,Rabi,0.619265278272858,0.5798174109404561,0.03944786733240191
2020,3,24.173611436724567,2172.593959086645,MP,PA,Rabi,0.4144497401364061,0.3658966768720601,0.048553063264346
